;RespondentNr;StimulusNr;Gaze x %;Gaze y %;gaze time ms;time stamp s
379;1;1;0.109;0.67;31;4
380;1;1;0.11;0.665;34;4
381;1;1;0.11199999999999999;0.6609999999999999;68;4
382;1;1;0.11699999999999999;0.652;33;4
383;1;1;0.12300000000000001;0.6459999999999999;67;4
384;1;1;0.125;0.639;30;4
385;1;1;0.11800000000000001;0.636;32;4
386;1;1;0.10800000000000001;0.63;70;4
387;1;1;0.192;0.624;29;4
388;1;1;0.408;0.636;34;4
389;1;1;0.452;0.637;34;4
390;1;1;0.48100000000000004;0.643;-4754;4
391;2;0;0.769;0.596;19;0
392;2;0;0.753;0.574;38;0
393;2;0;0.7390000000000001;0.561;64;0
394;2;0;0.7240000000000001;0.555;62;0
395;2;0;0.7120000000000001;0.516;40;0
396;2;0;0.7140000000000001;0.48700000000000004;162;0
397;2;0;0.542;0.616;38;0
398;2;0;0.596;0.581;60;0
399;2;0;0.701;0.518;38;0
400;2;0;0.522;0.275;104;0
401;2;0;0.528;0.264;59;0
402;2;0;0.53;0.266;40;0
403;2;0;0.499;0.262;59;0
404;2;0;0.479;0.24600000000000002;99;0
405;2;0;0.598;0.439;39;0
406;2;0;0.541;0.43;63;0
407;2;0;0.556;0.424;41;0
408;2;0;0.5660000000000001;0.434;59;1
409;2;0;0.5710000000000001;0.44299999999999995;39;1
410;2;0;0.5760000000000001;0.447;59;1
411;2;0;0.674;0.498;64;1
412;2;0;0.6809999999999999;0.504;37;1
413;2;0;0.754;0.537;39;1
414;2;0;0.75;0.536;59;1
415;2;0;0.76;0.541;63;1
416;2;0;0.768;0.541;39;1
417;2;0;0.77;0.535;67;1
418;2;0;0.733;0.507;60;1
419;2;0;0.7120000000000001;0.496;34;1
420;2;0;0.705;0.48700000000000004;33;1
421;2;0;0.693;0.47200000000000003;64;1
422;2;0;0.6509999999999999;0.41100000000000003;34;1
423;2;0;0.654;0.401;90;1
424;2;0;0.636;0.39399999999999996;17;1
425;2;0;0.619;0.387;61;1
426;2;0;0.597;0.37200000000000005;67;1
427;2;0;0.48100000000000004;0.276;32;2
428;2;0;0.456;0.257;68;2
429;2;0;0.42100000000000004;0.228;32;2
430;2;0;0.41600000000000004;0.22399999999999998;68;2
431;2;0;0.413;0.218;31;2
432;2;0;0.415;0.214;69;2
433;2;0;0.433;0.21;101;2
434;2;0;0.483;0.212;131;2
435;2;0;0.5920000000000001;0.209;72;2
436;2;0;0.612;0.21600000000000003;28;2
437;2;0;0.662;0.226;66;2
438;2;0;0.6779999999999999;0.23;36;2
439;2;0;0.6920000000000001;0.233;66;2
440;2;0;0.691;0.235;31;2
441;2;0;0.6829999999999999;0.24;67;2
442;2;0;0.684;0.24100000000000002;35;2
443;2;0;0.685;0.244;68;2
444;2;0;0.698;0.244;30;3
445;2;0;0.701;0.24600000000000002;69;3
446;2;0;0.708;0.24600000000000002;31;3
447;2;0;0.71;0.247;71;3
448;2;0;0.7120000000000001;0.247;97;3
449;2;0;0.705;0.247;33;3
450;2;0;0.6920000000000001;0.25;69;3
451;2;0;0.68;0.253;31;3
452;2;0;0.672;0.255;69;3
453;2;0;0.665;0.255;33;3
454;2;0;0.655;0.257;69;3
455;2;0;0.647;0.261;98;3
456;2;0;0.638;0.266;30;3
457;2;0;0.64;0.273;69;3
458;2;0;0.64;0.276;31;3
459;2;0;0.636;0.281;70;3
460;2;0;0.623;0.28600000000000003;67;3
461;2;0;0.5579999999999999;0.28600000000000003;31;3
462;2;0;0.371;0.284;33;4
463;2;0;0.325;0.27899999999999997;65;4
464;2;0;0.303;0.27399999999999997;103;4
465;2;0;0.319;0.257;33;4
466;2;0;0.301;0.254;67;4
467;2;0;0.298;0.24600000000000002;33;4
468;2;0;0.282;0.24;66;4
469;2;0;0.292;0.23800000000000002;35;4
470;2;0;0.618;0.445;63;4
471;2;0;0.636;0.46;66;4
472;2;0;0.633;0.46799999999999997;36;4
473;2;0;0.622;0.47100000000000003;-4546;4
474;2;1;0.628;0.58;32;0
475;2;1;0.62;0.586;68;0
476;2;1;0.609;0.594;102;0
477;2;1;0.569;0.616;100;0
478;2;1;0.532;0.629;33;0
479;2;1;0.505;0.636;67;0
480;2;1;0.519;0.625;31;0
481;2;1;0.551;0.614;68;0
482;2;1;0.565;0.606;31;0
483;2;1;0.584;0.598;67;0
484;2;1;0.601;0.59;31;0
485;2;1;0.684;0.555;67;0
486;2;1;0.691;0.56;32;0
487;2;1;0.6970000000000001;0.565;71;0
488;2;1;0.598;0.573;31;0
489;2;1;0.387;0.605;66;0
490;2;1;0.379;0.608;33;0
491;2;1;0.377;0.608;66;0
492;2;1;0.374;0.606;102;1
493;2;1;0.369;0.604;103;1
494;2;1;0.369;0.602;98;1
495;2;1;0.363;0.606;32;1
496;2;1;0.35200000000000004;0.603;66;1
497;2;1;0.34600000000000003;0.602;101;1
498;2;1;0.32299999999999995;0.601;33;1
499;2;1;0.305;0.597;66;1
500;2;1;0.299;0.588;68;1
501;2;1;0.305;0.574;31;1
502;2;1;0.311;0.564;35;1
503;2;1;0.314;0.557;101;1
504;2;1;0.6509999999999999;0.5589999999999999;200;1
505;2;1;0.69;0.581;66;2
506;2;1;0.715;0.591;67;2
507;2;1;0.73;0.586;101;2
508;2;1;0.731;0.585;31;2
509;2;1;0.733;0.58;98;2
510;2;1;0.7340000000000001;0.579;71;2
511;2;1;0.68;0.5529999999999999;30;2
512;2;1;0.643;0.562;101;2
513;2;1;0.624;0.551;69;2
514;2;1;0.529;0.508;30;2
515;2;1;0.565;0.504;69;2
516;2;1;0.615;0.507;32;2
517;2;1;0.655;0.507;69;2
518;2;1;0.68;0.503;31;2
519;2;1;0.6920000000000001;0.501;68;2
520;2;1;0.6970000000000001;0.5;32;3
521;2;1;0.696;0.499;91;3
522;2;1;0.7070000000000001;0.496;35;3
523;2;1;0.701;0.49200000000000005;18;3
524;2;1;0.675;0.486;57;3
525;2;1;0.6779999999999999;0.475;68;3
526;2;1;0.685;0.469;33;3
527;2;1;0.6829999999999999;0.466;67;3
528;2;1;0.682;0.45899999999999996;28;3
529;2;1;0.655;0.44799999999999995;70;3
530;2;1;0.629;0.433;33;3
531;2;1;0.598;0.41700000000000004;67;3
532;2;1;0.622;0.415;34;3
533;2;1;0.607;0.408;67;3
534;2;1;0.6609999999999999;0.39299999999999996;65;3
535;2;1;0.856;0.409;34;3
536;2;1;0.9309999999999999;0.45899999999999996;101;3
537;2;1;0.9329999999999999;0.479;132;3
538;2;1;0.8959999999999999;0.512;100;4
539;2;1;0.769;0.59;104;4
540;2;1;0.777;0.588;64;4
541;2;1;0.7559999999999999;0.581;31;4
542;2;1;0.722;0.5670000000000001;68;4
543;2;1;0.677;0.56;32;4
544;2;1;0.5329999999999999;0.5379999999999999;68;4
545;2;1;0.385;0.56;34;4
546;2;1;0.358;0.5660000000000001;65;4
547;2;1;0.366;0.563;69;4
548;2;1;0.687;0.5;30;4
549;2;1;0.711;0.488;37;4
550;2;1;0.71;0.479;0;4
